Length,Deletion Probability,Epsilon,%Error_in_BMA,Time Taken_in_BMA,Average_EditDistance_BMA,%Error_in_WA1,Time Taken_in_WA1,Average_EditDistance_WA1
40,0.1,0.1,0.0,5.163236618041992,0.0,0.0,3.620448589324951,0.0
40,0.1,0.3,0.0,0.8354551792144775,0.0,0.0,0.5107073783874512,0.0
40,0.1,0.5,0.0,0.45786428451538086,0.0,0.0,0.22931718826293945,0.0
40,0.1,1.0,4.200000000000003,0.35500240325927734,0.08,4.299999999999997,0.12270545959472656,0.046
40,0.3,0.1,0.0,4.973029851913452,0.0,0.0,3.49745512008667,0.0
40,0.3,0.3,0.0,0.8647031784057617,0.0,0.0,0.5018470287322998,0.0
40,0.3,0.5,0.0,0.5555696487426758,0.0,0.09999999999999432,0.2842750549316406,0.001
40,0.3,1.0,11.099999999999994,0.34512782096862793,0.216,11.200000000000003,0.1427021026611328,0.118
40,0.5,0.1,0.0,7.334164142608643,0.0,0.0,5.024639129638672,0.0
40,0.5,0.3,0.0,1.0472450256347656,0.0,0.0,0.665503740310669,0.0
40,0.5,0.5,0.20000000000000284,0.5822544097900391,0.013,0.0,0.297243595123291,0.0
40,0.5,1.0,17.599999999999994,0.3729383945465088,0.354,18.700000000000003,0.0907597541809082,0.201
40,1.0,0.1,0.0,7.613583087921143,0.0,0.0,5.1877734661102295,0.0
40,1.0,0.3,0.0,1.114079475402832,0.0,0.0,0.6453280448913574,0.0
40,1.0,0.5,0.7999999999999972,0.5794825553894043,0.062,0.20000000000000284,0.3243722915649414,0.002
40,1.0,1.0,33.2,0.39578747749328613,2.363,5.200000000000003,0.17952418327331543,0.053
40,1.5,0.1,0.0,9.42402958869934,0.0,0.0,6.375652074813843,0.0
40,1.5,0.3,0.0,1.2715630531311035,0.0,0.0,0.7581460475921631,0.0
40,1.5,0.5,1.0999999999999943,0.7043166160583496,0.032,0.7000000000000028,0.30517125129699707,0.007
40,1.5,1.0,45.5,0.396165132522583,3.572,9.299999999999997,0.14659500122070312,0.096
40,2.0,0.1,0.0,9.14961051940918,0.0,0.0,6.026750802993774,0.0
40,2.0,0.3,0.09999999999999432,1.238755702972412,0.001,0.0,0.7113533020019531,0.0
40,2.0,0.5,6.700000000000003,0.6920926570892334,0.36,1.4000000000000057,0.3312571048736572,0.014
40,2.0,1.0,58.4,0.40192365646362305,4.473,18.700000000000003,0.13670754432678223,0.202
40,2.5,0.1,0.0,11.653443813323975,0.0,0.0,7.502305269241333,0.0
40,2.5,0.3,0.29999999999999716,2.1558620929718018,0.009,0.0,1.1100022792816162,0.0
40,2.5,0.5,12.099999999999994,0.9991977214813232,0.636,3.4000000000000057,0.44223523139953613,0.036
40,2.5,1.0,64.0,0.5378763675689697,5.081,27.0,0.21055078506469727,0.295
40,3.0,0.1,0.0,12.761364459991455,0.0,0.0,8.311415433883667,0.0
40,3.0,0.3,0.4000000000000057,1.9601478576660156,0.026,0.09999999999999432,1.1551644802093506,0.001
40,3.0,0.5,12.200000000000003,0.9843897819519043,0.435,2.799999999999997,0.5085351467132568,0.028
40,3.0,1.0,74.4,0.48741602897644043,6.443,34.7,0.16681289672851562,0.418
40,3.5,0.1,0.0,13.204643249511719,0.0,0.0,8.524580717086792,0.0
40,3.5,0.3,7.0,1.6993536949157715,0.24,0.09999999999999432,1.0128355026245117,0.001
40,3.5,0.5,26.700000000000003,0.818915605545044,0.788,4.0,0.4293484687805176,0.04
40,3.5,1.0,77.9,0.4549598693847656,6.575,46.8,0.15251469612121582,0.601
40,4.0,0.1,0.0,14.477921724319458,0.0,0.0,9.415931940078735,0.0
40,4.0,0.3,12.299999999999997,1.8632299900054932,0.4,0.09999999999999432,1.1136410236358643,0.001
40,4.0,0.5,40.8,1.0951950550079346,2.073,4.700000000000003,0.5161375999450684,0.049
40,4.0,1.0,82.9,0.5233440399169922,7.244,54.7,0.20072388648986816,0.776
40,4.5,0.1,0.20000000000000284,14.859967947006226,0.009,0.0,9.602104425430298,0.0
40,4.5,0.3,27.299999999999997,2.2412233352661133,1.236,0.09999999999999432,1.2746813297271729,0.001
40,4.5,0.5,53.0,1.0427987575531006,2.876,6.5,0.5121607780456543,0.066
40,4.5,1.0,87.2,0.5576684474945068,7.522,72.2,0.16188430786132812,1.058
