Length,No. of Transmits,Deletion Probability,Percentage Error,Time Taken
10,18,10.0,9.9,0.2601926326751709
10,21,0.1,0.0,0.3331162929534912
10,21,0.3,0.0,0.5018472671508789
10,21,1.0,0.0,0.4308452606201172
10,21,1.5,0.0,0.4786059856414795
10,21,2.0,0.0,0.4637939929962158
10,21,2.5,0.0,0.47577357292175293
10,21,3.0,0.1,0.4877746105194092
10,21,3.5,0.1,0.340181827545166
10,21,4.0,0.2,0.45078182220458984
10,21,4.5,0.1,0.45171594619750977
10,21,5.0,0.1,0.40389299392700195
10,21,10.0,7.2,0.501683235168457
10,24,0.1,0.0,0.4836893081665039
10,24,0.3,0.0,0.5047416687011719
10,24,1.0,0.0,0.4907383918762207
10,24,1.5,0.0,0.478792667388916
10,24,2.0,0.0,0.4965682029724121
10,24,2.5,0.0,0.49369072914123535
10,24,3.0,0.0,0.4815382957458496
10,24,3.5,0.0,0.4976541996002197
10,24,4.0,0.0,0.5253074169158936
10,24,4.5,0.0,0.49463534355163574
10,24,5.0,0.2,0.3061997890472412
10,24,10.0,7.4,0.320115327835083
10,27,0.1,0.0,0.3321187496185303
10,27,0.3,0.0,0.3470280170440674
10,27,1.0,0.0,0.37791895866394043
10,27,1.5,0.0,0.5038807392120361
10,27,2.0,0.0,0.3560774326324463
10,27,2.5,0.0,0.3291149139404297
10,27,3.0,0.0,0.3360133171081543
10,27,3.5,0.0,0.33722400665283203
10,27,4.0,0.0,0.4445350170135498
10,27,4.5,0.0,0.5703456401824951
10,27,5.0,0.2,0.3939082622528076
10,27,10.0,6.6000000000000005,0.37595129013061523
10,30,0.1,0.0,0.36714959144592285
10,30,0.3,0.0,0.35611939430236816
10,30,1.0,0.0,0.42293810844421387
10,30,1.5,0.0,0.5554640293121338
10,30,2.0,0.0,0.5626630783081055
10,30,2.5,0.0,0.5463435649871826
10,30,3.0,0.0,0.5796077251434326
10,30,3.5,0.0,0.6071951389312744
10,30,4.0,0.0,0.5793778896331787
10,30,4.5,0.0,0.5904490947723389
10,30,5.0,0.0,0.5764973163604736
10,30,10.0,5.800000000000001,0.6241707801818848
10,33,0.1,0.0,0.6122124195098877
10,33,0.3,0.0,0.6821095943450928
10,33,1.0,0.0,0.7101194858551025
10,33,1.5,0.0,0.6332588195800781
10,33,2.0,0.0,0.5934596061706543
10,33,2.5,0.0,0.6287269592285156
10,33,3.0,0.0,0.6102604866027832
10,33,3.5,0.0,0.633249044418335
10,33,4.0,0.0,0.5877609252929688
10,33,4.5,0.0,0.6004841327667236
10,33,5.0,0.0,0.643240213394165
10,33,10.0,5.0,0.5780684947967529
10,36,0.1,0.0,0.6572170257568359
10,36,0.3,0.0,0.6361315250396729
10,36,1.0,0.0,0.6212294101715088
10,36,1.5,0.0,0.4637901782989502
10,36,2.0,0.0,0.4090113639831543
10,36,2.5,0.0,0.3878300189971924
10,36,3.0,0.0,0.3699154853820801
10,36,3.5,0.0,0.5807070732116699
10,36,4.0,0.0,0.4297475814819336
10,36,4.5,0.0,0.4089345932006836
10,36,5.0,0.0,0.3820488452911377
10,36,10.0,4.9,0.5689077377319336
10,39,0.1,0.0,0.36494874954223633
10,39,0.3,0.0,0.4130129814147949
10,39,1.0,0.0,0.3929915428161621
10,39,1.5,0.0,0.5226922035217285
10,39,2.0,0.0,0.46300458908081055
10,39,2.5,0.0,0.4778878688812256
10,39,3.0,0.0,0.4955170154571533
10,39,3.5,0.0,0.4847400188446045
10,39,4.0,0.0,0.8340537548065186
