Length,Deletion Probability,%Error_in_BMA,Time Taken_in_BMA,%Error_in_WA1,Time Taken_in_WA1
40,0.1,0.0,0.47863030433654785,0.0,0.07664942741394043
40,0.3,1.0999999999999943,0.4404335021972656,0.20000000000000284,0.07736968994140625
40,1.0,10.599999999999994,0.4510369300842285,1.5999999999999943,0.08408761024475098
40,3.0,51.4,0.4411640167236328,27.599999999999994,0.08066868782043457
40,10.0,98.9,0.45592546463012695,98.8,0.08080530166625977
80,0.1,0.20000000000000284,0.8675034046173096,0.0,0.18931818008422852
80,0.3,2.799999999999997,0.8622205257415771,0.0,0.18356037139892578
80,1.0,25.900000000000006,0.869361162185669,1.2999999999999972,0.1940608024597168
80,3.0,88.0,0.8805141448974609,47.6,0.20190715789794922
80,10.0,100.0,0.9115760326385498,100.0,0.18468093872070312
120,0.1,0.29999999999999716,1.5622856616973877,0.0,0.3365960121154785
120,0.3,4.799999999999997,1.5106728076934814,0.09999999999999432,0.3232283592224121
120,1.0,37.7,1.3751754760742188,2.9000000000000057,0.2933015823364258
120,3.0,95.3,1.5950970649719238,61.1,0.34853053092956543
120,10.0,100.0,1.2999217510223389,100.0,0.28220438957214355
160,0.1,0.7999999999999972,2.0438201427459717,0.0,0.42531681060791016
160,0.3,8.099999999999994,2.3711326122283936,0.20000000000000284,0.5061607360839844
160,1.0,51.0,2.963507890701294,4.400000000000006,0.6482377052307129
160,3.0,98.8,2.6176974773406982,78.7,0.5382580757141113
160,10.0,100.0,2.704671621322632,100.0,0.5972073078155518
200,0.1,0.09999999999999432,2.8744680881500244,0.0,0.6904633045196533
200,0.3,1.4000000000000057,2.258868455886841,0.0,0.5448498725891113
200,1.0,34.0,2.4197239875793457,2.700000000000003,0.5939161777496338
200,3.0,99.2,2.4798057079315186,85.2,0.6161205768585205
200,10.0,100.0,3.3753738403320312,100.0,0.834104061126709
240,0.1,0.20000000000000284,3.906010389328003,0.0,0.9442110061645508
240,0.3,1.0999999999999943,2.4901390075683594,0.0,0.6109223365783691
240,1.0,39.0,2.4445598125457764,3.5999999999999943,0.6252248287200928
240,3.0,99.5,2.429908037185669,88.0,0.5728223323822021
240,10.0,100.0,2.380288600921631,100.0,0.6179757118225098
280,0.1,0.09999999999999432,3.589827060699463,0.0,0.8992259502410889
280,0.3,1.5999999999999943,4.866241455078125,0.0,1.2051615715026855
280,1.0,43.3,4.19011116027832,4.099999999999994,1.0806691646575928
280,3.0,100.0,3.345719337463379,90.7,0.8471314907073975
280,10.0,100.0,4.242457866668701,100.0,1.0847117900848389
320,0.1,0.29999999999999716,6.4165661334991455,0.0,1.5593533515930176
320,0.3,2.9000000000000057,3.976573944091797,0.09999999999999432,0.9838016033172607
320,1.0,53.4,3.2939538955688477,5.400000000000006,0.8146071434020996
320,3.0,100.0,3.4405503273010254,95.5,0.8953826427459717
320,10.0,100.0,3.478829860687256,100.0,0.9013626575469971
360,0.1,0.09999999999999432,6.353342771530151,0.0,1.5267586708068848
360,0.3,2.5,4.257609605789185,0.0,1.0398838520050049
360,1.0,57.8,3.662346601486206,7.200000000000003,0.911081075668335
360,3.0,100.0,4.461217641830444,97.5,1.155979871749878
360,10.0,100.0,5.444605112075806,100.0,1.400587797164917
400,0.1,0.4000000000000057,5.005473613739014,0.0,1.235978126525879
400,0.3,2.9000000000000057,6.594475746154785,0.0,1.6162073612213135
400,1.0,57.3,8.12250018119812,6.400000000000006,1.9300012588500977
400,3.0,100.0,4.1888747215271,98.3,1.0532152652740479
400,10.0,100.0,4.66077995300293,100.0,1.1814520359039307
440,0.1,0.09999999999999432,7.261049032211304,0.0,1.7624950408935547
440,0.3,4.099999999999994,5.610278129577637,0.0,1.3631956577301025
440,1.0,62.5,4.898641586303711,7.400000000000006,1.2137105464935303
440,3.0,100.0,6.964146375656128,99.0,1.7353508472442627
440,10.0,100.0,5.322088956832886,100.0,1.323007583618164
480,0.1,0.09999999999999432,8.369637727737427,0.0,2.02754545211792
480,0.3,2.5999999999999943,8.601771354675293,0.09999999999999432,2.098452091217041
480,1.0,66.7,5.752239465713501,9.299999999999997,1.3938820362091064
480,3.0,100.0,9.787766456604004,99.6,2.419301748275757
480,10.0,100.0,5.63642692565918,100.0,1.3886237144470215
520,0.1,0.20000000000000284,9.352599859237671,0.0,2.233029365539551
520,0.3,4.799999999999997,5.832045316696167,0.0,1.4227337837219238
520,1.0,74.7,6.527930736541748,11.900000000000006,1.606985330581665
520,3.0,100.0,11.90250301361084,99.8,2.915581226348877
520,10.0,100.0,7.150824308395386,100.0,1.8377928733825684
560,0.1,0.29999999999999716,10.575350761413574,0.0,2.457977771759033
560,0.3,6.599999999999994,6.189387798309326,0.0,1.484337329864502
560,1.0,76.0,7.053876638412476,12.799999999999997,1.7039806842803955
560,3.0,100.0,8.262437105178833,99.9,2.0486223697662354
560,10.0,100.0,7.819371938705444,100.0,1.9491803646087646
600,0.1,0.29999999999999716,12.337414026260376,0.0,3.254082202911377
600,0.3,6.599999999999994,8.437803506851196,0.0,2.2824771404266357
600,1.0,80.4,9.317687511444092,6.5,2.546557664871216
