Length,No. of Transmits,Deletion Probability,Percentage Error,Time Taken
30,6,0.3,0.0,0.7081060409545898
30,6,1.0,0.30000000000000004,0.7210397720336914
30,6,3.0,5.6000000000000005,0.7380547523498535
30,6,10.0,69.9,0.6971368789672852
30,6,30.0,100.0,0.7100684642791748
30,11,0.01,0.0,1.6944670677185059
30,11,0.03,0.0,1.8919384479522705
30,11,0.1,0.0,1.9807319641113281
30,11,0.3,0.0,1.9250717163085938
30,11,1.0,0.0,1.9852445125579834
30,11,3.0,0.6000000000000001,1.9530956745147705
30,11,10.0,43.6,1.8623485565185547
30,11,30.0,100.0,1.8674123287200928
30,16,0.01,0.0,2.548527717590332
30,16,0.03,0.0,2.4893863201141357
30,16,0.1,0.0,2.482480049133301
30,16,0.3,0.0,2.499279499053955
30,16,1.0,0.0,1.6366214752197266
30,16,3.0,0.2,1.4747416973114014
30,16,10.0,39.400000000000006,1.7137444019317627
30,16,30.0,100.0,1.7773711681365967
30,21,0.01,0.0,1.8768072128295898
30,21,0.03,0.0,2.5199122428894043
30,21,0.1,0.0,1.717930793762207
30,21,0.3,0.0,1.7273776531219482
30,21,1.0,0.0,1.6845002174377441
30,21,3.0,0.2,2.7441155910491943
30,21,10.0,30.200000000000003,2.77278995513916
30,21,30.0,100.0,2.7623164653778076
30,26,0.01,0.0,3.3830502033233643
30,26,0.03,0.0,3.4384634494781494
30,26,0.1,0.0,2.4487762451171875
30,26,0.3,0.0,2.0489182472229004
30,26,1.0,0.0,2.189201593399048
30,26,3.0,0.1,2.431256055831909
30,26,10.0,29.0,1.9953196048736572
30,26,30.0,100.0,2.5192010402679443
35,1,0.01,0.2,0.3977084159851074
35,1,0.03,1.0,0.3942446708679199
35,1,0.1,3.5,0.39874792098999023
35,1,0.3,9.5,0.39629220962524414
35,1,1.0,29.1,0.41165757179260254
35,1,3.0,62.7,0.4180150032043457
35,1,10.0,97.7,0.41361355781555176
35,1,30.0,100.0,0.4854414463043213
35,6,0.01,0.0,0.9486589431762695
35,6,0.03,0.0,0.9681496620178223
35,6,0.1,0.0,0.830345630645752
35,6,0.3,0.0,0.833611249923706
35,6,1.0,0.1,0.8071722984313965
35,6,3.0,7.800000000000001,0.813812255859375
35,6,10.0,76.7,1.1814825534820557
35,6,30.0,100.0,1.31620192527771
35,11,0.01,0.0,2.031714677810669
35,11,0.03,0.0,2.0105931758880615
35,11,0.1,0.0,2.016834020614624
35,11,0.3,0.0,1.9726698398590088
35,11,1.0,0.1,2.0141468048095703
