Length,Deletion Probability,%Error_in_BMA,Time Taken_in_BMA,%Error_in_WA1,Time Taken_in_WA1
40,0.1,0.0,0.47197747230529785,0.0,0.07283806800842285
40,0.3,0.0,0.4338369369506836,0.0,0.08336806297302246
40,1.0,0.0,0.4225175380706787,0.0,0.06981277465820312
40,3.0,0.0,0.428851842880249,0.0,0.07341957092285156
40,10.0,100.0,0.4075181484222412,100.0,0.06981468200683594
80,0.1,0.0,0.9007585048675537,0.0,0.1705782413482666
80,0.3,0.0,0.8699898719787598,0.0,0.17257189750671387
80,1.0,0.0,0.8517847061157227,0.0,0.17373347282409668
80,3.0,100.0,0.8390429019927979,100.0,0.1655590534210205
80,10.0,100.0,0.7941524982452393,100.0,0.16260123252868652
120,0.1,0.0,1.232755184173584,0.0,0.2738990783691406
120,0.3,0.0,1.1900227069854736,0.0,0.2520005702972412
120,1.0,100.0,1.2128636837005615,0.0,0.251326322555542
120,3.0,100.0,1.1942095756530762,100.0,0.24303746223449707
120,10.0,100.0,1.1661148071289062,100.0,0.2584843635559082
160,0.1,0.0,1.8019697666168213,0.0,0.3759958744049072
160,0.3,0.0,1.8257052898406982,0.0,0.388533353805542
160,1.0,0.0,1.7293496131896973,0.0,0.3865361213684082
160,3.0,100.0,1.7057483196258545,100.0,0.3536810874938965
