Length,No. of Transmits,Deletion Probability,Percentage Error,Time Taken
10,48,1.0,0.0,1.2395124435424805
10,48,3.0,0.0,1.7498648166656494
10,48,10.0,4.9,1.2671775817871094
15,3,0.1,0.0,0.2776832580566406
15,3,0.3,0.2,0.27695178985595703
15,3,1.0,0.8,0.2754380702972412
15,3,3.0,8.3,0.28283119201660156
15,3,10.0,53.400000000000006,0.2749481201171875
15,6,0.1,0.0,0.3758816719055176
15,6,0.3,0.0,0.3801548480987549
15,6,1.0,0.4,0.392087459564209
15,6,3.0,3.0,0.3881189823150635
15,6,10.0,41.800000000000004,0.37711310386657715
15,9,0.1,0.0,0.4817204475402832
15,9,0.3,0.0,0.4924812316894531
15,9,1.0,0.0,0.48755717277526855
15,9,3.0,0.2,0.47568845748901367
15,9,10.0,27.0,0.6352241039276123
15,12,0.1,0.0,0.9608662128448486
15,12,0.3,0.0,0.6391944885253906
15,12,1.0,0.0,0.5879738330841064
15,12,3.0,0.30000000000000004,0.5811905860900879
15,12,10.0,22.900000000000002,0.5969028472900391
15,15,0.1,0.0,0.7029547691345215
15,15,0.3,0.0,0.6813538074493408
15,15,1.0,0.0,1.0138556957244873
15,15,3.0,0.2,0.8911399841308594
15,15,10.0,19.700000000000003,0.6947610378265381
15,18,0.1,0.0,0.7794845104217529
15,18,0.3,0.0,0.788449764251709
15,18,1.0,0.0,0.7861099243164062
15,18,3.0,0.1,0.9306440353393555
15,18,10.0,18.1,1.1667444705963135
15,21,0.1,0.0,0.8868176937103271
15,21,0.3,0.0,0.9064106941223145
15,21,1.0,0.0,0.9044640064239502
15,21,3.0,0.0,0.8846542835235596
15,21,10.0,14.8,1.3213672637939453
15,24,0.1,0.0,1.0793323516845703
15,24,0.3,0.0,0.9784455299377441
15,24,1.0,0.0,1.088348627090454
15,24,3.0,0.0,1.0911321640014648
15,24,10.0,15.600000000000001,1.0731372833251953
15,27,0.1,0.0,1.2072336673736572
15,27,0.3,0.0,1.2004969120025635
15,27,1.0,0.0,1.202847957611084
15,27,3.0,0.0,1.192765474319458
15,27,10.0,11.200000000000001,1.1749823093414307
15,30,0.1,0.0,1.3106000423431396
15,30,0.3,0.0,1.3299798965454102
15,30,1.0,0.0,1.3124723434448242
15,30,3.0,0.1,1.2970163822174072
15,30,10.0,12.600000000000001,1.2833857536315918
15,33,0.1,0.0,1.3980891704559326
15,33,0.3,0.0,1.4008538722991943
15,33,1.0,0.0,1.4225714206695557
15,33,3.0,0.0,1.4223031997680664
15,33,10.0,10.5,1.4025728702545166
15,36,0.1,0.0,1.6086227893829346
15,36,0.3,0.0,1.705317735671997
15,36,1.0,0.0,1.6007671356201172
15,36,3.0,0.0,1.5387170314788818
15,36,10.0,12.600000000000001,1.4961822032928467
15,39,0.1,0.0,1.6275115013122559
15,39,0.3,0.0,1.628129005432129
15,39,1.0,0.0,1.6303863525390625
15,39,3.0,0.0,1.6171154975891113
15,39,10.0,11.600000000000001,1.6173293590545654
15,42,0.1,0.0,2.358051061630249
15,42,0.3,0.0,2.692525863647461
15,42,1.0,0.0,2.727199077606201
15,42,3.0,0.0,2.6598410606384277
15,42,10.0,10.600000000000001,2.6489689350128174
15,45,0.1,0.0,2.855987071990967
15,45,0.3,0.0,1.9220130443572998
15,45,1.0,0.0,1.7106168270111084
15,45,3.0,0.0,1.7006349563598633
15,45,10.0,9.600000000000001,1.7015819549560547
15,48,0.1,0.0,1.787046194076538
15,48,0.3,0.0,1.8135690689086914
15,48,1.0,0.0,1.7868223190307617
15,48,3.0,0.0,2.3379645347595215
15,48,10.0,9.600000000000001,1.7786405086517334
20,3,0.1,0.0,0.3545989990234375
20,3,0.3,0.2,0.3455932140350342
20,3,1.0,1.3,0.351332426071167
20,3,3.0,12.5,0.36095643043518066
20,3,10.0,64.2,0.5906264781951904
20,6,0.1,0.0,0.7814540863037109
20,6,0.3,0.0,0.4811432361602783
20,6,1.0,0.0,0.4753439426422119
20,6,3.0,3.9000000000000004,0.4822499752044678
20,6,10.0,55.800000000000004,0.4790313243865967
20,9,0.1,0.0,0.6184418201446533
20,9,0.3,0.0,0.610680103302002
20,9,1.0,0.1,0.6130399703979492
20,9,3.0,0.4,0.6715328693389893
20,9,10.0,34.5,0.6634042263031006
20,12,0.1,0.0,0.819145917892456
20,12,0.3,0.0,0.8196027278900146
20,12,1.0,0.0,0.882683515548706
20,12,3.0,0.30000000000000004,0.8211588859558105
20,12,10.0,30.0,0.8094024658203125
20,15,0.1,0.0,0.9645864963531494
20,15,0.3,0.0,0.9636397361755371
20,15,1.0,0.0,0.9617478847503662
20,15,3.0,0.1,0.9535372257232666
20,15,10.0,25.200000000000003,0.9629786014556885
20,18,0.1,0.0,1.125566005706787
20,18,0.3,0.0,1.1023988723754883
20,18,1.0,0.0,1.1208250522613525
20,18,3.0,0.1,1.1089973449707031
20,18,10.0,23.1,1.0852041244506836
20,21,0.1,0.0,1.2510652542114258
20,21,0.3,0.0,1.2563254833221436
20,21,1.0,0.0,1.2485039234161377
20,21,3.0,0.1,1.2514526844024658
20,21,10.0,22.5,1.2159602642059326
20,24,0.1,0.0,1.3835957050323486
20,24,0.3,0.0,1.3774738311767578
20,24,1.0,0.0,1.412334680557251
20,24,3.0,0.0,1.5467617511749268
20,24,10.0,20.200000000000003,1.3778762817382812
20,27,0.1,0.0,1.535175085067749
20,27,0.3,0.0,1.5360517501831055
20,27,1.0,0.0,1.6741032600402832
20,27,3.0,0.0,2.3425323963165283
20,27,10.0,18.3,2.3391942977905273
20,30,0.1,0.0,2.604264736175537
20,30,0.3,0.0,2.6138198375701904
20,30,1.0,0.0,2.5873444080352783
20,30,3.0,0.0,2.5859992504119873
20,30,10.0,16.1,1.725271463394165
20,33,0.1,0.0,1.671072244644165
20,33,0.3,0.0,1.6720912456512451
20,33,1.0,0.0,1.688424825668335
20,33,3.0,0.0,1.683955430984497
20,33,10.0,15.600000000000001,1.669795036315918
20,36,0.1,0.0,1.8223071098327637
20,36,0.3,0.0,1.8350815773010254
20,36,1.0,0.0,1.8289010524749756
20,36,3.0,0.0,2.3589539527893066
20,36,10.0,17.5,1.798673152923584
20,39,0.1,0.0,1.9411165714263916
20,39,0.3,0.0,2.4997520446777344
20,39,1.0,0.0,1.953115701675415
20,39,3.0,0.1,2.066909074783325
20,39,10.0,15.0,2.0926406383514404
20,42,0.1,0.0,2.2775580883026123
20,42,0.3,0.0,2.2634224891662598
20,42,1.0,0.0,2.2712783813476562
20,42,3.0,0.0,2.487428903579712
20,42,10.0,14.100000000000001,2.227541208267212
20,45,0.1,0.0,2.457853078842163
20,45,0.3,0.0,2.4006195068359375
20,45,1.0,0.0,2.3954038619995117
20,45,3.0,0.0,3.5708212852478027
20,45,10.0,13.700000000000001,3.6794421672821045
20,48,0.1,0.0,3.930647850036621
20,48,0.3,0.0,3.9317023754119873
20,48,1.0,0.0,2.9270286560058594
20,48,3.0,0.0,2.3223581314086914
20,48,10.0,14.3,2.307224750518799
25,3,0.1,0.0,0.40817689895629883
25,3,0.3,0.5,0.4144878387451172
25,3,1.0,1.7000000000000002,0.4085266590118408
25,3,3.0,15.9,0.41168761253356934
25,3,10.0,73.9,0.4049355983734131
25,6,0.1,0.0,0.6149353981018066
25,6,0.3,0.0,0.5809366703033447
25,6,1.0,0.1,0.5911548137664795
25,6,3.0,4.1000000000000005,0.5904843807220459
25,6,10.0,63.300000000000004,0.5932724475860596
25,9,0.1,0.0,0.7452874183654785
25,9,0.3,0.0,0.7507126331329346
25,9,1.0,0.0,0.7470600605010986
25,9,3.0,0.8,0.7414755821228027
25,9,10.0,41.7,0.751422643661499
25,12,0.1,0.0,0.903052568435669
25,12,0.3,0.0,0.9343440532684326
25,12,1.0,0.0,1.0960564613342285
25,12,3.0,0.5,1.2646517753601074
25,12,10.0,37.0,0.901848554611206
25,15,0.1,0.0,1.0895533561706543
25,15,0.3,0.0,1.0747299194335938
25,15,1.0,0.0,1.091200590133667
25,15,3.0,0.1,1.0711734294891357
25,15,10.0,33.800000000000004,1.1173064708709717
25,18,0.1,0.0,2.0774199962615967
25,18,0.3,0.0,2.0759329795837402
25,18,1.0,0.0,2.1002700328826904
25,18,3.0,0.2,2.154057502746582
25,18,10.0,31.400000000000002,2.0503602027893066
25,21,0.1,0.0,2.3580284118652344
25,21,0.3,0.0,2.3512938022613525
25,21,1.0,0.0,2.244671106338501
25,21,3.0,0.0,1.3941619396209717
25,21,10.0,23.900000000000002,1.3947315216064453
25,24,0.1,0.0,1.5788404941558838
25,24,0.3,0.0,1.6098899841308594
25,24,1.0,0.0,2.106919050216675
25,24,3.0,0.0,1.5719397068023682
25,24,10.0,22.400000000000002,1.5460920333862305
25,27,0.1,0.0,2.280683994293213
25,27,0.3,0.0,1.7705307006835938
25,27,1.0,0.0,1.758547067642212
25,27,3.0,0.0,1.7255299091339111
25,27,10.0,22.1,1.714322566986084
25,30,0.1,0.0,2.4573540687561035
25,30,0.3,0.0,1.9138827323913574
25,30,1.0,0.0,1.9120702743530273
25,30,3.0,0.0,1.9311645030975342
